company_id,name
635712b1-b378-4eef-a122-712bc0ca6639,"Bradley Company, LLC"
819eb012-04b3-40ef-a1a1-e4fa60204cb2,Thermos L.L.C.
36a775d0-ac60-4972-ab3a-3150c8df5864,"FOSHAN SHUNDE MIDEA ELECTRICAL HEATING APPLIANCES MANUFACTURING CO., LTD."
bc78b3b2-c440-4e31-988a-e1a67a12bbcc,FCA US LLC
96d66874-4ed9-44af-9270-bb50b1b215ef,Weber-Stephen Products LLC
1d06b4f3-345a-4a90-9770-afaf989b53d9,"HUIZHOU GREAT HARVEST WORLDWIDE INDUSTRY CO., LTD"
8b393697-3aa8-44ab-a624-0ef831cf0335,COPLUS INC.
118565fb-5037-4fb5-b31c-a1c6e7674c02,KONINKLIJKE PHILIPS N.V.
85b465d5-cafb-484b-98da-8b6565f27828,FERRARI S.p.A.
eb34b6fe-16d7-4e71-b902-1468aefbfc1e,"EPOCH COMPANY, LTD."
63370b1a-e68d-4377-b22d-894ddb4a1cb2,Kobe Koncepts LLC
7155b1a8-4dac-4b15-bfb2-0aed88776b58,"DePuy Synthes Products, Inc."
dec9ea7f-8899-445c-9e66-86b35ceb346a,ASSA ABLOY Americas Residential Inc.
51d3cfe6-ec9a-4eb2-8c5b-a40f8d973413,"Hennessy Gift Wrap, Inc."
f03635c8-6b6c-4f2b-bb6c-b52678f56aae,QUALCOMM Incorporated
fbd6e7b3-2c48-43e1-893b-87adc194992d,Clearvue Technologies Ltd
62419875-f527-4f0c-825b-386d72892071,"Shenzhen Diyin Electronics Co., Ltd."
5fb105b4-7e0b-4dd6-8931-94f6755a7944,"Beijing Roborock Technology Co., Ltd."
1df63415-5e7c-4f6d-901e-1c1543d7dbb9,ERICO International Corporation
27c2471d-8056-448c-baa5-742a8295fcd6,"TAIZHOU SUKK FURNITURE CO., LTD"
d643c15e-0b60-436b-ae79-4fb44edf6d3f,"SHENZHEN BOMIT TECHNOLOGY CO., LTD."
0fdd502c-59bd-4a3c-b692-a421f1097c5c,"Anji Judor Furniture Co., Ltd"
67cdc3bb-3ff8-4add-9cbc-df32aac3c8f9,"Patricko, LLC"
5937603e-7383-4e3a-9318-bf4945cf8fed,SANTOS
934fbb9f-c992-45a7-b5a2-7427a942a12c,"Starmark Pet Products, Inc."
6145eccf-2944-4bfc-8a82-e87bfce4d434,"PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO., LTD."
780109d7-bca8-423f-93c8-66906c49c9ea,"Hanwha Vision Co., Ltd."
949940c7-e98b-4101-8c70-94d01cd0c33b,"SN PLUS CO., LTD."
2f99f1e8-6c16-41b0-9611-907ab4383a9d,Bayerische Motoren Werke Aktiengesellschaft
d3439a15-741c-4111-be1a-9a30885b1954,H&C COMPLEXITIES LLC
a294d360-c570-4a0b-a1f9-71296818048b,"SUNDAY AFTERNOONS, INC."
dc24a414-c36a-44cd-918c-e0172315c365,Thetford BV
d99e76e5-2025-4e0e-b562-ebade85fce74,ZESPRI GROUP LIMITED
bc502904-a9d6-4c1f-bc3f-43e00b579f02,"Sheehan Genetics, LLC"
51085e44-e43e-48ef-b8b1-4efc11d71ee3,Conex IPR Limited
416467fd-4ee7-49dc-a4bd-3d3d438f17f7,"Curallux, LLC"
def15296-1674-4a23-9023-40143890faeb,WORKLIFE BRANDS LLC
6104f7d5-8579-4421-8778-964e495f2c0d,"Qalo Holdings, LLC"
bf52dfe0-48eb-444c-b964-eb8670ad251f,Hunter Fan Company
90fef2ad-c7bc-4fa8-906c-cfee24cf8ed7,Arktura LLC
12e77440-634a-46c5-8b72-8d6830146823,"Salesforce, Inc."
bf1ae407-1e45-4200-8d2d-b03aa470c7ab,PACCAR Inc.
f2bbbd0f-c99e-4106-b326-fbd2db0bfac1,"TEMPUR WORLD, LLC"
6b7207f4-8b30-45e0-aa66-d3b33bbcd393,"Suzhou Ash-Clean Intelligent Technology Co., Ltd."
1f68517d-ebcf-48f3-ae42-25e23cdd2248,"Garrett Electronics, Inc."
32b19156-f46c-41bb-b88b-d23ef9b8e189,"Riddell, Inc."
635a1ad8-e5d2-4cb5-9427-237a68de26cc,MUUTO A/S
5ff0ea57-4664-483d-963f-4ca05007d2d6,LULULEMON ATHLETICA CANADA INC.
f94290bc-7c0d-49af-9797-828af77eb9c7,GM GLOBAL TECHNOLOGY OPERATIONS LLC
813de44e-62ab-44c9-9674-b9908db9ddcd,Real Value LLC
9487c5c7-2768-418e-b0ca-daa586599e0e,Rio Vista Farms Inc.
a6ec2f09-8c9f-40d8-9ef4-92c511be5fd3,"PepsiCo, Inc."
0dccd95a-444c-40f0-be26-51d21d8e1318,Tizzer Services Ltd
834ec8ae-3928-48cd-82f4-5be2d30b6053,"Yiwu Shitanli Industrial Product Design Co., Ltd."
0276feee-c989-4a65-998e-7099a0e80785,NSK LTD.
61093d62-ca00-499b-91e2-60545fae4ce1,ARTERIORS HOME
626d10be-2382-4b5a-9a4d-2b3a074cd864,Dongguan Lingke Automotive Parts
94398446-ccef-4864-b283-d2ecc74fb263,"Essentially Engineered, LLC"
ac5ed98d-3102-481a-a299-496319daaa3c,"Medtronic, Inc."
df8e8f40-e40b-444a-a755-c22ac38259ef,Andrea Hankins
4c21947e-e7ea-429e-9a8b-83a6c1b544e6,RICHEMONT INTERNATIONAL SA
a70878b2-7c21-418a-8ea2-8b683b7a2db3,CECCHETTO IMPORT AG
cdbebd39-657c-4168-8b36-afbb139075b9,Huancheng Weng
aff711be-5587-421c-9827-5590160ac565,BENTLEY MOTORS LIMITED
16c00179-227e-45ff-ad3a-a77d7b79b18c,PIONEER CORPORATION
d10d714e-ed78-404e-b7c8-d1794a821264,QATAR TOURISM
391f9fe4-ecb9-40de-bf55-3c07e9546bff,Oxshott LLC
048b2efe-1ff2-4857-9bbc-18422f0f1910,GOOGLE LLC
ba399ec8-f6e4-438d-a787-687caec40c0c,"YUE JEI INDUSTRIAL CO., LTD."
034dbcbc-b6db-4ee7-8287-a0076b3a271f,"Zhejiang Wehaves Network Technology Co., Ltd."
d0a60118-a344-4735-a933-f57b1897afd7,DREAM LION International Limited
944cd74f-68e1-47b2-9cc7-c1a976b19697,"Holley Performance Products, Inc."
fb12bbbc-4a8a-4b50-86a4-0bf6619cf644,CNH Industrial America LLC
d2dea8a8-c67d-4976-8f0c-f189a21721c0,ARCADYAN TECHNOLOGY CORPORATION
5bc44935-4965-4d53-9bdd-a8ffcfb567d9,"Pioneer Square Brands, Inc."
7ad5b5da-9d38-4a74-977b-8c9cda658656,AVISION INC.
d41bb96d-ad81-4719-a639-21cf68e33780,Safran Seats USA LLC
6d51c290-2ed0-4fc3-be8e-ec42e0b5533b,"Spectrum Diversified Designs, LLC"
b78569bd-6804-43df-8911-b5ad321f2f01,Takeya USA Corporation
4cd03524-d34d-4635-b70e-bb707ab5e0a3,Ziqiang Huang
69dbf832-0e88-4623-8a12-80c502118ba2,Hongxian Hu
befb45fa-e497-47e4-82bd-f655f2e02059,"Scosche Industries, Inc."
612cd217-0d8a-4013-ba80-e13d7fb32836,"Winter Park Trading, Inc."
dc2702a4-b98b-4cbe-b673-746eedf72ace,"PCTesT Engineering Laboratory, INC."
1b7df2b5-6ba8-45e7-978f-a91d69bf49be,HONEYWELL INTERNATIONAL INC.
ff21cc91-569c-48ed-81f7-0ea2219a4676,Fisher & Paykel Healthcare Limited
1fd8c9e9-6ff0-4f36-aa6e-c23b2087fc4c,LifeNet Health
ecff75e2-9c66-4ea9-952e-16bf4037d61a,"Schneider Electric USA, Inc."
83a2aa8c-4cc5-47dc-9c2e-e9693edf378c,HIGH STREET TV (GROUP) LTD.
e2fdfb3a-4518-4596-98c5-0bfa12c3e4ff,Slettvoll Møbler AS
b299fb9e-b06a-4542-a6f4-1c87d26eef0d,DD Karma LLC
9611b452-9652-4a39-9a3b-ba61c13ed0b6,"Move-X Autonomous Driving Technology Co., Ltd."
ec05006e-a81a-49b2-b496-7cb214bf2b13,"DONGGUAN XIAOLU TECHNOLOGY CO., LTD."
6ff3150d-0bdd-4e83-8825-f0807ab9f088,"MODUS TEST, LLC"
50bb40ae-47a4-4d28-9d04-7c18b6a685b2,"BioCure, Inc."
da9acb7c-e09a-477b-9efc-43648915b0fe,"HGCI, Inc."
dd29a47e-729e-4594-9257-be739705405a,Guangzhou Shiyuan Electronic Technology Company Limited
f183be1f-372f-4136-855f-aa9989641305,Savage Interactive Pty Ltd
d1097181-f21f-4cfa-995a-7f16d587ea4a,"Hewlett-Packard Development Company, L.P."
74eaed13-2b87-4ed5-bd5b-9c72a0a2a0dc,Adams Mfg. Corp.
355a635d-d35e-45b7-a951-a603d27f7ded,"Caraway Home, Inc."
e8cab519-246e-482a-83b0-dce5edb824ea,Johnson & Johnson Consumer Inc.
27c0ef35-9bb8-4ae2-94ef-94b035e331c9,Elbee Pty Ltd.
95f385d3-b527-462a-aa1a-323e86d8a843,"YUNDING NETWORK TECHNOLOGY (BEIJING) CO., LTD."
97d8c614-d5ee-4a20-a156-4c25c27ed0c6,2840629 Ontario Inc.
ca201c46-f0bf-459f-9c88-210c8f58b6c3,"Shenzhen Mamba Technology Trade Co., Ltd."
45eb60b4-9dfc-4c4c-af56-fb855b471a91,Sonova AG
17d7accc-fd45-4bf2-a11b-b0df4a71f952,Cecarute Limited
77095709-7b6d-4e60-b029-4d0a33c06078,"Shanghai Muge Electronic Commerce Co., Ltd"
f5384978-e888-498c-87ee-43a1e24f404c,"LINCOLN GLOBAL, INC."
5cb5464d-f3e7-4a3a-8e5d-a128741a0b13,FUJIFILM Corporation
98200c41-7c1c-4121-83be-bd52301648b2,BLUE OCEAN CLOSURES AB
05a54793-6ff8-48c6-90a6-22cae2159b56,Enerjoy Pte. Ltd.
13a18dd8-9810-4930-a939-2a4c4b0cfd29,MARKLYN Group Inc
42b43fb2-9d21-4df0-9173-b8ec4ea52ddd,"Siemens Industry, Inc."
bb36a61d-bbd1-42a7-8862-b03933869235,"Fuyun Acoustics Technology (shenzhen) Co., Ltd."
8d0d3ccd-7795-4f59-82fe-90b337489b11,"MTG CO., LTD."
6ffac6da-fd0d-49f9-b09c-20a51490fb4f,Troax AB
edc30fd3-bad5-4e9b-8761-898cfb7aadcf,Ping Zhang
2e3867fa-29ae-4bbb-a2db-2424b3b465f4,"Target Brands, Inc."
70438a16-c326-4460-a87c-a19e14e56b3b,"SHENZHEN MICROGRAVITY TECHNOLOGY CO., LTD"
1a2315ac-5c18-45c9-b2a4-214f9b65ede0,Iris Ohyama Inc.
c40fe62b-8c33-41d2-948c-6472b071cf9b,ZEBRA TECHNOLOGIES CORPORATION
436e20a7-b75f-4614-8503-3b921f9fe524,"ZHEJIANG GEELY HOLDING GROUP CO., LTD"
75794ebd-7a54-4f69-b7b4-3ac6bf1d8013,"Shenzhen Aquavil Technology Co., Ltd."
f097c191-2e85-4824-bf32-e06eddc0d3e4,Patterson Fan Company
545177b6-6a1d-4378-bcc8-36b0944a908b,"Baidu Online Network Technology (Beijing) Co., Ltd."
ab15be6f-c7e3-46d1-b068-c657e617d947,"Shenzhen Biyaping Technology Co., Ltd"
4af2a4f0-2656-4734-bf6e-24e896033e46,"James R. Glidewell Dental Ceramics, Inc."
ff81ffbd-1fc7-455d-9a11-93c95fb06b63,BIP Floral Inc.
01bb5a2a-b210-4c3b-bdc0-d095c0b8f623,BEEKENKAMP PLANTS B.V.
576e04d7-3d89-4e3b-bb21-0d51eec5dd7c,Karsten Manufacturing Corporation
5bef6926-681c-499a-bc77-b919cdfc4f51,Alpha Motor Corporation
d12a9347-5bad-4f0b-b75e-2310e8ed877e,GETAC TECHNOLOGY CORPORATION
87ab7877-8c59-436a-9e0e-53770d9896ac,Brabus GmbH
7701fa82-4bd8-444e-b414-d22057b423b5,JYA COEO
d418d665-7a75-4e83-905a-78fcdc80924a,OBER S.P.A.
016ec323-4b4f-4ada-b4b2-edcdeec54cc7,"Tele Marketers, Inc."
612643b0-11ba-440d-a4cc-89b4d246ddc1,Proslide Technology Inc.
99433900-791e-4359-9a5c-a2f8e70d83ee,Syngenta Crop Protection AG
a26f90c6-69b8-4e8b-9f5b-bfe43a1a404e,Graco Minnesota Inc.
e27d317b-ff25-44ca-8f96-f549e1430f7a,"Ionis Pharmaceuticals, Inc."
a56b3c02-9d1c-4122-94c5-976dead7f35c,"Zhejiang Arru Pet Products Co., Ltd."
4a05d839-024b-425c-839e-15d8f1d0543f,"WENCHENG COUNTY SHENGTENG TRADING CO., LTD"
011f9e67-f7a3-4589-8419-bcdff0a30639,"GoPro, Inc."
30d8c32c-6274-48ab-9aeb-39a8747fe8ec,"Charter Communications Operating, LLC"
6d854ce6-4406-4cf5-bb5c-7d1b82ab1f8c,TAU MEDICAL INC.
d682b328-a044-4be2-941d-39f6a0c465fe,"USAI, LLC"
6aed06ee-23d1-4792-96e8-ad15e584f8ef,"Shenzhen Yiju Technology Co., Ltd."
ace39363-f02c-4ec4-bd9e-ffa4b996f3d3,"Harman International Industries, Incorporated"
e8b67fe0-3270-4226-bfe1-37520a8b1ffa,Jaguar Land Rover Limited
0ac69cce-2b81-4fa3-aeef-915fa19f821e,"HARBOR INNOVATIONS, LLC"
5b5b250e-5567-4781-a8cf-28c725a5bda2,Logitech Europe S.A.
cf400777-4e6c-40d3-abbd-30609d06393d,"O&M Halyard, Inc."
849a1d8a-9308-40ce-9a86-ba9fda83709b,adidas AG
5479cc85-9188-405f-b23e-912cb728c0b6,Lamb-Weston/Meijer V.O.F.
1e34dfe9-a0bb-4747-a756-2cf612ea07b3,H. J. Heinz Company Brands LLC
b388a12e-c0fb-404f-a449-88ce0e598df5,"Beta-Calco, Inc."
6d3848db-eb5c-48ac-9254-25ad4e9aa988,Epic Metals Corporation
72c0efad-d746-4c2c-a01b-a3b9c9834805,"XIAMEN SITUO SEN TRADING CO., LTD."
1300b8e6-372c-47cb-a961-826be4cc624a,Saverglass
11887c02-aaaf-4664-b8b0-659c6b4e7d02,"Pingtan Linghui Electronic Technology Co., Ltd."
119a2a86-a9cf-4f11-a181-620fb34628c2,CAMBRIA COUNTYASSOCIATION FORTHE BLIND AND HANDICAPPED
c993e210-5a81-4aef-a255-c99afe0ddfc2,Cheng Feng Enterprise SDN BHD
5c139b39-32e8-4f43-8de0-5950f7d372c9,"SHENZHEN QIDIAN ELECTRONIC TECHNOLOGY CO., LTD."
f9300e70-0223-4f93-a119-8671a9147303,"Sodi Original Technology Co., Ltd."
a6d3915d-61d0-4645-a02b-054ee1de705c,SUZHOU SINGMED MEDICAL DEVICE SCIENCE AND TECHNOLOGY LTD.
6b453669-92f6-4e50-b776-7fc647cc5bb5,Acushnet Company
c82c95da-3f7a-4a04-9a0d-440695bf98a3,INSTANT BRANDS HOLDINGS INC.
051afad5-2288-4c64-b82f-ea82bbeaf3c1,Dongguan Shichang Metals Factory Ltd.
82f657a0-47d4-4d37-bed7-78205be297f1,XAVORK WOODLAND INC.
24c2faa2-6ad5-49cf-a5c9-02295bc57b71,EATON INTELLIGENT POWER LIMITED
87de0633-1446-43a4-b2df-0226f11a33f5,Olivier NV
89efcb87-166e-41f4-968e-8d08d5bfb915,BOTANIC GARDENS AND PARKS AUTHORITY
82b17094-f197-4e25-b270-66cc76465079,"SHENZHEN YIQIMAI TECHNOLOGY CO., LTD."
41d2cd01-991e-4301-87be-d4c46261cd9a,"DECEUNINCK NORTH AMERICA, LLC"
8295afed-3aaf-48c1-a872-f228fa4dc8b3,"MF IP HOLDING, LLC"
1da179da-0016-4fa5-a144-185155d52dac,BIOLOG-ID
f1ea41a5-0131-4716-b363-415172911ff9,"LANDSCAPE FORMS, INC."
26416c67-bc24-4121-a72b-9bbe1cd54610,CrunchLabs LLC
e36b5d13-8b6a-4ee6-9c14-d336c6eadc56,"SPIGEN KOREA CO., LTD."
42cdd39c-128e-4554-b127-434fcfdddf10,Anna Anatolievna Antonova
9b8d5479-a338-4835-a1d4-8dbdb9b19cdd,"SHENZHEN GOLDSLAND PRECISION MOLD & PLASTLC PRODUCTS CO., LTD."
7fce9e9e-dff7-4d40-9f87-35d29249359a,Altria Client Services LLC
988abd55-08cb-4eb9-80f6-d06dd9600068,IGT
633db8df-a227-4876-a39e-61d66398f5c7,"YIWU LOCYOP HOUSEHOLD PRODUCT CO., LTD."
273bd8f7-ce8c-4fe8-9825-276c1b85d539,"Shangyou Jiayi Lighting Product Co., LTD."
e621ebf6-16cd-4fcb-a25b-c6bba3fcce25,"Dloc Sports, LLC"
8feac11d-d815-4ff5-a9ac-17e76b908f10,GENTEX CORPORATION
15b45c16-3d68-4ab1-be2b-e613620d9b8b,STRYKER CORPORATION
97042bfc-30e9-409d-b291-f8a4cc097a26,LEISTER TECHNOLOGIES AG
4a3eec42-78bf-4057-8a68-4da387b86ee6,"FACEBOOK, INC."
3a541aef-c0d3-41d3-8dbf-c79496ac2a68,"Kids2, LLC"
ab956f04-ae3c-4d37-9408-804dd16d6f39,"CRAFT STANDARD ENTERPRISES, INC."
797a25b7-dc1a-486d-9e2d-68461e0d9dd1,"FARO Technologies, Inc."
e4adedfc-11a7-4ef8-a913-cecb60d58024,"Japan Aviation Electronics Industry, Ltd."
682fb1a4-c462-498a-9555-2fb3389c74ca,"SOURCE Global, PBC"
a0009723-f9d0-4784-9a71-94da9514c4cf,"Walters Gardens, Inc."
cedb7cc8-3107-462e-98ae-6ce3d0608790,"CITECH CO., LTD."
22a5db23-333f-47c4-8fcf-3630b01869e3,Dometic Sweden AB
19f2d2a9-ed76-4646-94fe-9173434de458,Reestar International Limited
ead9b88c-16a5-4f9c-a45c-bd4287210704,Ragner Technology Corporation
38510525-583b-45c4-bb5d-e0aa3eb50c80,"Shinhan Card Co., LTD."
db124e5a-faed-4835-bfc2-04b7cf0771ce,"MAXELL, LTD."
6d3e7ebb-14b2-4b1a-9fbe-e315351652a3,Harry Winston SA
1428ea68-75b7-4e45-bf53-de140340a6c6,"Standlee Hay Company, Inc."
1d8c6463-1a4c-419c-9bbe-b080e38a5443,Wingbo Imports Inc
e6405b83-cc50-4ecf-a672-ff77bb2d206a,Oracle International Corporation
87bbd77e-54e0-4d95-9c1b-7843963c09eb,TOYOTA JIDOSHA KABUSHIKI KAISHA
31be957f-0bdb-4471-a831-650940669d1d,GCE GROUP AB
2810ef79-a47c-476a-b0f6-56be66c2c36e,KIA CORPORATION
907bf2e8-28c9-4a80-a9e7-919317f2463c,Talus Corporation
